"Show.Name","Date.Year","Show.Type","Total.Gross","Number.Performances"
"207","The Chairs",1998,"Play",1830517,74
"208","The Deep Blue Sea",1998,"Play",1379259,61
"209","The Diary Of Anne Frank",1998,"Play",4703433,192
"210","The Herbal Bed",1998,"Play",371767,13
"211","The Judas Kiss",1998,"Play",4629082,103
"212","The King And I 96",1998,"Musical",2913508,64
"213","The Last Night Of Ballyhoo",1998,"Play",3582977,208
"214","The Life",1998,"Musical",6261179,184
"215","The Lion King",1998,"Musical",42623401,418
"216","The Old Neighborhood",1998,"Play",2450781,152
"217","The Phantom Of The Opera",1998,"Musical",36354939,416
"218","The Scarlet Pimpernel",1998,"Musical",19220307,407
"219","The Sound Of Music",1998,"Musical",23417540,333
"220","The Sunshine Boys",1998,"Play",4244497,206
"221","Titanic",1998,"Musical",28242280,416
"222","Triumph Of Love",1998,"Musical",271068,8
"223","Twelfth Night",1998,"Play",3602900,53
"224","Wait Until Dark",1998,"Play",4125132,97
"225","Amadeus",1999,"Play",406429,13
"226","Amy'S View",1999,"Play",5911176,103
"227","Annie Get Your Gun",1999,"Musical",31819257,341
"228","Art",1999,"Play",8282004,255
"229","Band In Berlin",1999,"Musical",383380,17
"230","Beauty And The Beast",1999,"Musical",25855128,341
"231","Bring In Da Noise, Bring In Da Funk",1999,"Musical",856345,16
"232","Cabaret 98",1999,"Musical",25844066,416
"233","Cats",1999,"Musical",19468213,416
"234","Chicago",1999,"Musical",30133439,415
"235","Closer",1999,"Play",5318897,172
"236","Dame Edna: The Royal Tour",1999,"Play",3360936,81
"237","Death Of A Salesman 99",1999,"Play",15190655,274
"238","Electra",1999,"Play",3217370,87
"239","Epic Proportions",1999,"Play",1317751,93
"240","Fool Moon '98",1999,"Special",385125,8
"241","Footloose",1999,"Musical",22236973,417
"242","Fosse",1999,"Musical",30959368,397
"243","I'M Still Here...Damn It!",1999,"Play",186027,6
"244","It Ain'T Nothin' But The Blues",1999,"Musical",6471407,269
"245","Jackie Mason: Much Ado About Everything",1999,"Play",890419,0
"246","James Joyce'S The Dead",1999,"Musical",396587,0
"247","Jekyll & Hyde",1999,"Musical",19483905,415
"248","Kat And The Kings",1999,"Musical",3206756,149
"249","Kiss Me, Kate",1999,"Musical",5075878,44
"250","Les Miserables",1999,"Musical",24190002,416
"251","Little Me",1999,"Musical",1193081,48
"252","Marie Christine",1999,"Musical",2361041,27
"253","Marlene",1999,"Musical",681313,25
"254","Minnelli On Minnelli",1999,"Special",1919333,14
"255","Miss Saigon",1999,"Musical",24178896,416
"256","Morning, Noon And Night",1999,"Special",407930,9
"257","Night Must Fall",1999,"Play",2927757,119
"258","Not About Nightingales",1999,"Play",2465086,125
"259","On The Town",1999,"Musical",1131481,24
"260","Parade",1999,"Musical",2359575,72
"261","Peter Pan 98",1999,"Musical",10218898,174
"262","Putting It Together",1999,"Musical",2977622,38
"263","Ragtime",1999,"Musical",33363835,417
"264","Rent",1999,"Musical",23389936,416
"265","Ring Round The Moon",1999,"Play",1282880,66
"266","Saturday Night Fever",1999,"Musical",9750139,77
"267","Side Man",1999,"Play",6105133,352
"268","Smokey Joe'S Cafe",1999,"Musical",14384937,416
"269","Swan Lake",1999,"Musical",1609612,32
"270","Swing!",1999,"Musical",2605280,21
"271","Tango Argentino '99",1999,"Musical",1361305,47
"272","The Beauty Queen Of Leenane",1999,"Play",2138642,88
"273","The Blue Room",1999,"Play",3444061,68
"274","The Civil War",1999,"Musical",3524775,61
"275","The Gershwins' Fascinating Rhythm",1999,"Musical",970692,17
"276","The Iceman Cometh 99",1999,"Play",8200517,102
"277","The Lion In Winter",1999,"Play",2099821,93
"278","The Lion King",1999,"Musical",45592394,417
"279","The Lonesome West",1999,"Play",619334,55
"280","The Phantom Of The Opera",1999,"Musical",34537535,416
"281","The Price 99",1999,"Play",1224282,48
"282","The Rainmaker",1999,"Play",2430507,53
"283","The Scarlet Pimpernel",1999,"Musical",15099250,300
"284","The Sound Of Music",1999,"Musical",11066431,200
"285","The Weir",1999,"Play",6874875,277
"286","Titanic",1999,"Musical",4994084,104
"287","Via Dolorosa",1999,"Play",1751272,99
"288","Voices In The Dark",1999,"Play",1245034,68
"289","Waiting In The Wings",1999,"Play",1235253,13
"290","You'Re A Good Man, Charlie Brown",1999,"Musical",3630774,149
"291","A Moon For The Misbegotten 00",2000,"Play",5140269,120
"292","Aida",2000,"Musical",35638527,324
"293","Amadeus",2000,"Play",4613032,160
"294","Annie Get Your Gun",2000,"Musical",29254198,424
"295","Beauty And The Beast",2000,"Musical",31161900,423
"296","Betrayal",2000,"Play",2600614,51
"297","Cabaret 98",2000,"Musical",23328320,424
"298","Cats",2000,"Musical",19697599,296
"299","Chicago",2000,"Musical",27119688,425
"300","Contact",2000,"Musical",26122152,317
"301","Copenhagen",2000,"Play",10700663,302
"302","Dame Edna: The Royal Tour",2000,"Play",6454757,216
"303","Dirty Blonde",2000,"Play",6798612,280
"304","Footloose",2000,"Musical",9419632,216
"305","Fosse",2000,"Musical",24477273,424
"306","Gore Vidal'S The Best Man",2000,"Play",5998667,121
"307","It Ain'T Nothin' But The Blues",2000,"Musical",281487,15
"308","Jackie Mason: Much Ado About Everything",2000,"Play",4413008,186
"309","James Joyce'S The Dead",2000,"Musical",3979470,120
"310","Jane Eyre",2000,"Musical",2477346,25
"311","Jekyll & Hyde",2000,"Musical",19296268,424
"312","Jesus Christ Superstar",2000,"Musical",11284435,161
"313","Kat And The Kings",2000,"Musical",211530,8
"314","Kiss Me, Kate",2000,"Musical",35878782,424
"315","Les Miserables",2000,"Musical",23987941,424
"316","Macbeth 00",2000,"Play",489308,13
"317","Marie Christine",2000,"Musical",621054,15
"318","Matters Of The Heart",2000,"Special",628230,11
"319","Minnelli On Minnelli",2000,"Special",630503,6
"320","Miss Saigon",2000,"Musical",24175462,424
"321","Morning, Noon And Night",2000,"Special",96789,3
"322","Proof",2000,"Play",3922368,80
"323","Putting It Together",2000,"Musical",2393748,63
"324","Ragtime",2000,"Musical",1874420,24
"325","Rent",2000,"Musical",22172410,424
"326","Riverdance",2000,"Musical",27679908,333
"327","Rose",2000,"Play",1230595,42
"328","Saturday Night Fever",2000,"Musical",27835499,424
"329","Seussical",2000,"Musical",4379359,38
"330","Smokey Joe'S Cafe",2000,"Musical",858205,24
"331","Squonk",2000,"Musical",466157,32
"332","Swing!",2000,"Musical",21210493,424
"333","Taller Than A Dwarf",2000,"Play",2557061,56
"334","Tango Argentino '99",2000,"Musical",568058,16
"335","The Dinner Party",2000,"Play",4613374,84
"336","The Full Monty",2000,"Musical",7357404,77
"337","The Green Bird",2000,"Musical",1787997,56
"338","The Lion King",2000,"Musical",51371662,424
"339","The Man Who Came To Dinner",2000,"Play",3854225,85
"340","The Music Man",2000,"Musical",21523249,286
"341","The Phantom Of The Opera",2000,"Musical",34941859,424
"342","The Price 99",2000,"Play",1788816,80
"343","The Rainmaker",2000,"Play",890735,29
"344","The Real Thing '00",2000,"Play",5645810,136
"345","The Ride Down Mt. Morgan",2000,"Play",3948515,121
"346","The Rocky Horror Show",2000,"Musical",3050566,55
"347","The Scarlet Pimpernel",2000,"Musical",356377,8
"348","The Search For Signs Of Intelligent Life In The Universe 00",2000,"Play",1945113,47
"349","The Tale Of The Allergist'S Wife",2000,"Play",4114717,68
"350","The Wild Party",2000,"Musical",3919522,68
"351","True West",2000,"Play",5035352,154
"352","Uncle Vanya 00",2000,"Play",2366742,49
"353","Waiting In The Wings",2000,"Play",5278652,170
"354","Wrong Mountain",2000,"Play",418284,28
"355","42Nd Street '01",2001,"Musical",28937541,275
"356","45 Seconds From Broadway",2001,"Play",3377127,58
"357","A Christmas Carol '01",2001,"Play",819397,8
"358","A Class Act",2001,"Musical",2558362,105
"359","A Thousand Clowns 01",2001,"Play",2658624,83
"360","Aida",2001,"Musical",41164440,413
"361","Annie Get Your Gun",2001,"Musical",21075258,280
"362","Barbara Cook: Mostly Sondheim",2001,"Special",39219,0
"363","Beauty And The Beast",2001,"Musical",31011339,414
"364","Bells Are Ringing",2001,"Musical",3527176,68
"365","Betrayal",2001,"Play",1333457,38
"366","Blast!",2001,"Musical",8169127,180
"367","By Jeeves",2001,"Musical",2090954,73
"368","Cabaret 98",2001,"Musical",20487522,414
"369","Chicago",2001,"Musical",23841443,415
"370","Contact",2001,"Musical",23113371,413
"371","Copenhagen",2001,"Play",870176,24
"372","Dance Of Death",2001,"Play",4863633,92
"373","Design For Living 01",2001,"Play",2984209,69
"374","Dirty Blonde",2001,"Play",1126810,72
"375","Follies",2001,"Musical",7080718,117
"376","Fosse",2001,"Musical",13319545,272
"377","George Gershwin Alone",2001,"Play",1055351,96
"378","Hedda Gabler 01",2001,"Play",2876599,102
"379","If You Ever Leave Me…I'M Going With You",2001,"Play",1361049,53
"380","Jane Eyre",2001,"Musical",5605839,184
"381","Jekyll & Hyde",2001,"Musical",469454,8
"382","Judgment At Nuremberg",2001,"Play",2025590,56
"383","King Hedley Ii",2001,"Play",2479599,72
"384","Kiss Me, Kate",2001,"Musical",24097083,414
"385","Les Miserables",2001,"Musical",22375651,413
"386","Major Barbara",2001,"Play",3217456,74
"387","Mamma Mia!",2001,"Musical",10882306,83
"388","Miss Saigon",2001,"Musical",3065454,32
"389","Noises Off '01",2001,"Play",4390093,69
"390","One Flew Over The Cuckoo'S Nest",2001,"Play",6477718,121
"391","Proof",2001,"Play",17115977,413
